ts_utc,ts_local,market_id,token_id,market_name,side,label,human_readable,best_bid,best_ask,bids_json,asks_json
2025-11-01T18:26:58.021365+00:00,2025-11-01T20:26:58.021391+02:00,0x599ba03cb7f428cdaeeb29d47762d05486d2e836977c77fa37b47c60439339cd,51478445440357624592489206656127918377632488459993105884633473044692824186818,lal-rso-bil-2025-11-01-rso,No,lal-rso-bil-2025-11-01-rso-No,Market lal-rso-bil-2025-11-01-rso (No),0.71,0.73,"[{""price"":""0.02"",""size"":""5617""},{""price"":""0.03"",""size"":""2781""},{""price"":""0.04"",""size"":""50""},{""price"":""0.11"",""size"":""345""},{""price"":""0.68"",""size"":""2997""},{""price"":""0.69"",""size"":""3003""},{""price"":""0.7"",""size"":""3632.14""},{""price"":""0.71"",""size"":""980.38""}]","[{""price"":""0.99"",""size"":""12566""},{""price"":""0.79"",""size"":""3765""},{""price"":""0.78"",""size"":""3699""},{""price"":""0.77"",""size"":""6208.77""},{""price"":""0.76"",""size"":""1493""},{""price"":""0.75"",""size"":""1846""},{""price"":""0.74"",""size"":""608""},{""price"":""0.73"",""size"":""666""}]"
2025-11-01T18:27:15.045692+00:00,2025-11-01T20:27:15.045819+02:00,0x599ba03cb7f428cdaeeb29d47762d05486d2e836977c77fa37b47c60439339cd,104790507274247514111242701252937112201666701881517396841496848090774117266518,lal-rso-bil-2025-11-01-rso,Yes,lal-rso-bil-2025-11-01-rso-Yes,Market lal-rso-bil-2025-11-01-rso (Yes),0.26,0.29,"[{""price"":""0.01"",""size"":""12566""},{""price"":""0.21"",""size"":""3765""},{""price"":""0.22"",""size"":""3699""},{""price"":""0.23"",""size"":""6208.77""},{""price"":""0.24"",""size"":""1493""},{""price"":""0.25"",""size"":""1846""},{""price"":""0.26"",""size"":""1178""}]","[{""price"":""0.98"",""size"":""5617""},{""price"":""0.97"",""size"":""1990""},{""price"":""0.96"",""size"":""50""},{""price"":""0.89"",""size"":""345""},{""price"":""0.32"",""size"":""2997""},{""price"":""0.31"",""size"":""3794""},{""price"":""0.3"",""size"":""3632.14""},{""price"":""0.29"",""size"":""1011.55""}]"
2025-11-01T18:27:15.049025+00:00,2025-11-01T20:27:15.049041+02:00,0x599ba03cb7f428cdaeeb29d47762d05486d2e836977c77fa37b47c60439339cd,51478445440357624592489206656127918377632488459993105884633473044692824186818,lal-rso-bil-2025-11-01-rso,No,lal-rso-bil-2025-11-01-rso-No,Market lal-rso-bil-2025-11-01-rso (No),0.71,0.74,"[{""price"":""0.02"",""size"":""5617""},{""price"":""0.03"",""size"":""1990""},{""price"":""0.04"",""size"":""50""},{""price"":""0.11"",""size"":""345""},{""price"":""0.68"",""size"":""2997""},{""price"":""0.69"",""size"":""3794""},{""price"":""0.7"",""size"":""3632.14""},{""price"":""0.71"",""size"":""1011.55""}]","[{""price"":""0.99"",""size"":""12566""},{""price"":""0.79"",""size"":""3765""},{""price"":""0.78"",""size"":""3699""},{""price"":""0.77"",""size"":""6208.77""},{""price"":""0.76"",""size"":""1493""},{""price"":""0.75"",""size"":""1846""},{""price"":""0.74"",""size"":""1178""}]"
2025-11-01T18:27:22.013953+00:00,2025-11-01T20:27:22.014052+02:00,0x51957460aeafdc44ff72f1069294e28df0a77b941de5c6cd32825befbdaba20e,30154217422453421414173885124555915172327895850872794321543747942556066498411,lal-rso-bil-2025-11-01-bil,Yes,lal-rso-bil-2025-11-01-bil-Yes,Market lal-rso-bil-2025-11-01-bil (Yes),0.25,0.26,"[{""price"":""0.01"",""size"":""4826.45""},{""price"":""0.06"",""size"":""15.39""},{""price"":""0.19"",""size"":""3921""},{""price"":""0.2"",""size"":""3840""},{""price"":""0.21"",""size"":""16057""},{""price"":""0.22"",""size"":""1784""},{""price"":""0.23"",""size"":""1000""},{""price"":""0.24"",""size"":""512""},{""price"":""0.25"",""size"":""111""}]","[{""price"":""0.95"",""size"":""8953""},{""price"":""0.94"",""size"":""1990""},{""price"":""0.78"",""size"":""400""},{""price"":""0.77"",""size"":""791""},{""price"":""0.76"",""size"":""8""},{""price"":""0.72"",""size"":""134""},{""price"":""0.31"",""size"":""3003""},{""price"":""0.3"",""size"":""3803""},{""price"":""0.29"",""size"":""3058.9""},{""price"":""0.28"",""size"":""1806.7""},{""price"":""0.27"",""size"":""666""},{""price"":""0.26"",""size"":""512.3""}]"
2025-11-01T18:27:22.016794+00:00,2025-11-01T20:27:22.016823+02:00,0x51957460aeafdc44ff72f1069294e28df0a77b941de5c6cd32825befbdaba20e,38272647971077244726003679523552242951107859152917780491810411152061594201037,lal-rso-bil-2025-11-01-bil,No,lal-rso-bil-2025-11-01-bil-No,Market lal-rso-bil-2025-11-01-bil (No),0.74,0.75,"[{""price"":""0.05"",""size"":""8953""},{""price"":""0.06"",""size"":""1990""},{""price"":""0.22"",""size"":""400""},{""price"":""0.23"",""size"":""791""},{""price"":""0.24"",""size"":""8""},{""price"":""0.28"",""size"":""134""},{""price"":""0.69"",""size"":""3003""},{""price"":""0.7"",""size"":""3803""},{""price"":""0.71"",""size"":""3058.9""},{""price"":""0.72"",""size"":""1806.7""},{""price"":""0.73"",""size"":""666""},{""price"":""0.74"",""size"":""512.3""}]","[{""price"":""0.99"",""size"":""4826.45""},{""price"":""0.94"",""size"":""15.39""},{""price"":""0.81"",""size"":""3921""},{""price"":""0.8"",""size"":""3840""},{""price"":""0.79"",""size"":""16057""},{""price"":""0.78"",""size"":""1784""},{""price"":""0.77"",""size"":""1000""},{""price"":""0.76"",""size"":""512""},{""price"":""0.75"",""size"":""111""}]"
2025-11-01T18:27:41.009362+00:00,2025-11-01T20:27:41.009457+02:00,0x599ba03cb7f428cdaeeb29d47762d05486d2e836977c77fa37b47c60439339cd,104790507274247514111242701252937112201666701881517396841496848090774117266518,lal-rso-bil-2025-11-01-rso,Yes,lal-rso-bil-2025-11-01-rso-Yes,Market lal-rso-bil-2025-11-01-rso (Yes),0.26,0.29,"[{""price"":""0.01"",""size"":""12566""},{""price"":""0.21"",""size"":""3765""},{""price"":""0.22"",""size"":""3699""},{""price"":""0.23"",""size"":""6208.77""},{""price"":""0.24"",""size"":""1493""},{""price"":""0.25"",""size"":""1846""},{""price"":""0.26"",""size"":""1163""}]","[{""price"":""0.98"",""size"":""5617""},{""price"":""0.97"",""size"":""1990""},{""price"":""0.96"",""size"":""50""},{""price"":""0.89"",""size"":""345""},{""price"":""0.32"",""size"":""3197""},{""price"":""0.31"",""size"":""3794""},{""price"":""0.3"",""size"":""3632.14""},{""price"":""0.29"",""size"":""1000.44""}]"
2025-11-01T18:27:41.012651+00:00,2025-11-01T20:27:41.012681+02:00,0x599ba03cb7f428cdaeeb29d47762d05486d2e836977c77fa37b47c60439339cd,51478445440357624592489206656127918377632488459993105884633473044692824186818,lal-rso-bil-2025-11-01-rso,No,lal-rso-bil-2025-11-01-rso-No,Market lal-rso-bil-2025-11-01-rso (No),0.71,0.74,"[{""price"":""0.02"",""size"":""5617""},{""price"":""0.03"",""size"":""1990""},{""price"":""0.04"",""size"":""50""},{""price"":""0.11"",""size"":""345""},{""price"":""0.68"",""size"":""3197""},{""price"":""0.69"",""size"":""3794""},{""price"":""0.7"",""size"":""3632.14""},{""price"":""0.71"",""size"":""1000.44""}]","[{""price"":""0.99"",""size"":""12566""},{""price"":""0.79"",""size"":""3765""},{""price"":""0.78"",""size"":""3699""},{""price"":""0.77"",""size"":""6208.77""},{""price"":""0.76"",""size"":""1493""},{""price"":""0.75"",""size"":""1846""},{""price"":""0.74"",""size"":""1163""}]"
2025-11-01T18:28:38.107352+00:00,2025-11-01T20:28:38.107374+02:00,0x51957460aeafdc44ff72f1069294e28df0a77b941de5c6cd32825befbdaba20e,30154217422453421414173885124555915172327895850872794321543747942556066498411,lal-rso-bil-2025-11-01-bil,Yes,lal-rso-bil-2025-11-01-bil-Yes,Market lal-rso-bil-2025-11-01-bil (Yes),0.25,0.26,"[{""price"":""0.01"",""size"":""4826.45""},{""price"":""0.06"",""size"":""15.39""},{""price"":""0.19"",""size"":""3921""},{""price"":""0.2"",""size"":""3840""},{""price"":""0.21"",""size"":""16057""},{""price"":""0.22"",""size"":""1784""},{""price"":""0.23"",""size"":""1000""},{""price"":""0.24"",""size"":""512""},{""price"":""0.25"",""size"":""111""}]","[{""price"":""0.99"",""size"":""53.21""},{""price"":""0.95"",""size"":""8953""},{""price"":""0.94"",""size"":""1990""},{""price"":""0.93"",""size"":""20.96""},{""price"":""0.78"",""size"":""400""},{""price"":""0.77"",""size"":""791""},{""price"":""0.76"",""size"":""8""},{""price"":""0.72"",""size"":""134""},{""price"":""0.31"",""size"":""3003""},{""price"":""0.3"",""size"":""3803""},{""price"":""0.29"",""size"":""3058.9""},{""price"":""0.28"",""size"":""1806.7""},{""price"":""0.27"",""size"":""666""},{""price"":""0.26"",""size"":""502.3""}]"
2025-11-01T18:28:38.109286+00:00,2025-11-01T20:28:38.109297+02:00,0x51957460aeafdc44ff72f1069294e28df0a77b941de5c6cd32825befbdaba20e,38272647971077244726003679523552242951107859152917780491810411152061594201037,lal-rso-bil-2025-11-01-bil,No,lal-rso-bil-2025-11-01-bil-No,Market lal-rso-bil-2025-11-01-bil (No),0.74,0.75,"[{""price"":""0.01"",""size"":""53.21""},{""price"":""0.05"",""size"":""8953""},{""price"":""0.06"",""size"":""1990""},{""price"":""0.07"",""size"":""20.96""},{""price"":""0.22"",""size"":""400""},{""price"":""0.23"",""size"":""791""},{""price"":""0.24"",""size"":""8""},{""price"":""0.28"",""size"":""134""},{""price"":""0.69"",""size"":""3003""},{""price"":""0.7"",""size"":""3803""},{""price"":""0.71"",""size"":""3058.9""},{""price"":""0.72"",""size"":""1806.7""},{""price"":""0.73"",""size"":""666""},{""price"":""0.74"",""size"":""502.3""}]","[{""price"":""0.99"",""size"":""4826.45""},{""price"":""0.94"",""size"":""15.39""},{""price"":""0.81"",""size"":""3921""},{""price"":""0.8"",""size"":""3840""},{""price"":""0.79"",""size"":""16057""},{""price"":""0.78"",""size"":""1784""},{""price"":""0.77"",""size"":""1000""},{""price"":""0.76"",""size"":""512""},{""price"":""0.75"",""size"":""111""}]"
2025-11-01T18:28:53.086597+00:00,2025-11-01T20:28:53.086691+02:00,0x51957460aeafdc44ff72f1069294e28df0a77b941de5c6cd32825befbdaba20e,30154217422453421414173885124555915172327895850872794321543747942556066498411,lal-rso-bil-2025-11-01-bil,Yes,lal-rso-bil-2025-11-01-bil-Yes,Market lal-rso-bil-2025-11-01-bil (Yes),0.25,0.26,"[{""price"":""0.01"",""size"":""4826.45""},{""price"":""0.06"",""size"":""15.39""},{""price"":""0.19"",""size"":""3921""},{""price"":""0.2"",""size"":""3840""},{""price"":""0.21"",""size"":""16057""},{""price"":""0.22"",""size"":""1784""},{""price"":""0.23"",""size"":""1000""},{""price"":""0.24"",""size"":""512""},{""price"":""0.25"",""size"":""111""}]","[{""price"":""0.99"",""size"":""53.21""},{""price"":""0.95"",""size"":""8953""},{""price"":""0.94"",""size"":""1990""},{""price"":""0.93"",""size"":""20.96""},{""price"":""0.78"",""size"":""400""},{""price"":""0.77"",""size"":""791""},{""price"":""0.76"",""size"":""8""},{""price"":""0.72"",""size"":""134""},{""price"":""0.31"",""size"":""3003""},{""price"":""0.3"",""size"":""3803""},{""price"":""0.29"",""size"":""3058.9""},{""price"":""0.28"",""size"":""1806.7""},{""price"":""0.27"",""size"":""666""},{""price"":""0.26"",""size"":""394.6""}]"
